,team1,team2,games
942,Florida State,Texas A&M,4
943,Florida State,Texas Tech,5
944,Florida State,UCF,1
945,Florida State,UCLA,1
946,Florida State,USC,2
947,Florida State,Utah,0
948,Florida State,Vanderbilt,0
949,Florida State,Virginia,19
950,Florida State,Virginia Tech,38
951,Florida State,Wake Forest,41
952,Florida State,Washington,0
953,Florida State,Washington State,0
954,Florida State,West Virginia,3
955,Florida State,Wisconsin,1
956,Florida State,Notre Dame,11
957,Florida State,Connecticut,0
958,Florida State,SMU,0
959,Florida State,Tulane,10
960,Georgia,Georgia Tech,112
961,Georgia,Houston,4
962,Georgia,Illinois,0
963,Georgia,Indiana,0
964,Georgia,Iowa,0
965,Georgia,Iowa State,0
966,Georgia,Kansas,0
967,Georgia,Kansas State,0
